序号,列名,模态,窗口指标,窗口指标含义,统计量,统计量含义,单位,这一维在说什么
169,eye_aoi_fixation_n__mean,眼动-AOI,eye_aoi_fixation_n,AOI 注视次数,mean,任务内平均,次,落在兴趣区上的注视次数（按重叠加权）。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
170,eye_aoi_fixation_n__std,眼动-AOI,eye_aoi_fixation_n,AOI 注视次数,std,任务内波动,次,落在兴趣区上的注视次数（按重叠加权）。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
171,eye_aoi_fixation_n__median,眼动-AOI,eye_aoi_fixation_n,AOI 注视次数,median,任务内中位数,次,落在兴趣区上的注视次数（按重叠加权）。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
172,eye_aoi_fixation_n__slope,眼动-AOI,eye_aoi_fixation_n,AOI 注视次数,slope,任务过程走势,次,落在兴趣区上的注视次数（按重叠加权）。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
173,eye_aoi_fixation_density_per_sec__mean,眼动-AOI,eye_aoi_fixation_density_per_sec,每秒 AOI 注视次数,mean,任务内平均,次/秒,窗内 AOI 注视有多密。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
174,eye_aoi_fixation_density_per_sec__std,眼动-AOI,eye_aoi_fixation_density_per_sec,每秒 AOI 注视次数,std,任务内波动,次/秒,窗内 AOI 注视有多密。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
175,eye_aoi_fixation_density_per_sec__median,眼动-AOI,eye_aoi_fixation_density_per_sec,每秒 AOI 注视次数,median,任务内中位数,次/秒,窗内 AOI 注视有多密。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
176,eye_aoi_fixation_density_per_sec__slope,眼动-AOI,eye_aoi_fixation_density_per_sec,每秒 AOI 注视次数,slope,任务过程走势,次/秒,窗内 AOI 注视有多密。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
177,eye_aoi_coverage_ratio__mean,眼动-AOI,eye_aoi_coverage_ratio,AOI 注视覆盖比例,mean,任务内平均,0–1,兴趣区注视总时长 / 窗口时长。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
178,eye_aoi_coverage_ratio__std,眼动-AOI,eye_aoi_coverage_ratio,AOI 注视覆盖比例,std,任务内波动,0–1,兴趣区注视总时长 / 窗口时长。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
179,eye_aoi_coverage_ratio__median,眼动-AOI,eye_aoi_coverage_ratio,AOI 注视覆盖比例,median,任务内中位数,0–1,兴趣区注视总时长 / 窗口时长。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
180,eye_aoi_coverage_ratio__slope,眼动-AOI,eye_aoi_coverage_ratio,AOI 注视覆盖比例,slope,任务过程走势,0–1,兴趣区注视总时长 / 窗口时长。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
181,eye_aoi_max_share__mean,眼动-AOI,eye_aoi_max_share,最主要 AOI 占比,mean,任务内平均,0–1,注视时间最多的那一个区域占全部 AOI 注视的比例；越大说明看得越集中。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
182,eye_aoi_max_share__std,眼动-AOI,eye_aoi_max_share,最主要 AOI 占比,std,任务内波动,0–1,注视时间最多的那一个区域占全部 AOI 注视的比例；越大说明看得越集中。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
183,eye_aoi_max_share__median,眼动-AOI,eye_aoi_max_share,最主要 AOI 占比,median,任务内中位数,0–1,注视时间最多的那一个区域占全部 AOI 注视的比例；越大说明看得越集中。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
184,eye_aoi_max_share__slope,眼动-AOI,eye_aoi_max_share,最主要 AOI 占比,slope,任务过程走势,0–1,注视时间最多的那一个区域占全部 AOI 注视的比例；越大说明看得越集中。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
185,eye_aoi_entropy__mean,眼动-AOI,eye_aoi_entropy,AOI 注视分散程度,mean,任务内平均,无量纲,各兴趣区注视份额的熵；越大说明在界面上看得越散。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
186,eye_aoi_entropy__std,眼动-AOI,eye_aoi_entropy,AOI 注视分散程度,std,任务内波动,无量纲,各兴趣区注视份额的熵；越大说明在界面上看得越散。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
187,eye_aoi_entropy__median,眼动-AOI,eye_aoi_entropy,AOI 注视分散程度,median,任务内中位数,无量纲,各兴趣区注视份额的熵；越大说明在界面上看得越散。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
188,eye_aoi_entropy__slope,眼动-AOI,eye_aoi_entropy,AOI 注视分散程度,slope,任务过程走势,无量纲,各兴趣区注视份额的熵；越大说明在界面上看得越散。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
189,eye_aoi_pupil_weighted_mean__mean,眼动-AOI,eye_aoi_pupil_weighted_mean,AOI 上的加权瞳孔,mean,任务内平均,mm,只在看兴趣区时，按注视时长加权的瞳孔直径。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
190,eye_aoi_pupil_weighted_mean__std,眼动-AOI,eye_aoi_pupil_weighted_mean,AOI 上的加权瞳孔,std,任务内波动,mm,只在看兴趣区时，按注视时长加权的瞳孔直径。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
191,eye_aoi_pupil_weighted_mean__median,眼动-AOI,eye_aoi_pupil_weighted_mean,AOI 上的加权瞳孔,median,任务内中位数,mm,只在看兴趣区时，按注视时长加权的瞳孔直径。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
192,eye_aoi_pupil_weighted_mean__slope,眼动-AOI,eye_aoi_pupil_weighted_mean,AOI 上的加权瞳孔,slope,任务过程走势,mm,只在看兴趣区时，按注视时长加权的瞳孔直径。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
193,blink_count__mean,眨眼,blink_count,疑似眨眼次数,mean,任务内平均,次,窗内 EyesNotFound 段、时长 50–500 ms，算一次疑似眨眼。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
194,blink_count__std,眨眼,blink_count,疑似眨眼次数,std,任务内波动,次,窗内 EyesNotFound 段、时长 50–500 ms，算一次疑似眨眼。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
195,blink_count__median,眨眼,blink_count,疑似眨眼次数,median,任务内中位数,次,窗内 EyesNotFound 段、时长 50–500 ms，算一次疑似眨眼。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
196,blink_count__slope,眨眼,blink_count,疑似眨眼次数,slope,任务过程走势,次,窗内 EyesNotFound 段、时长 50–500 ms，算一次疑似眨眼。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
197,blink_rate_per_min__mean,眨眼,blink_rate_per_min,眨眼频率,mean,任务内平均,次/分钟,按窗口时长折成每分钟次数。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
198,blink_rate_per_min__std,眨眼,blink_rate_per_min,眨眼频率,std,任务内波动,次/分钟,按窗口时长折成每分钟次数。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
199,blink_rate_per_min__median,眨眼,blink_rate_per_min,眨眼频率,median,任务内中位数,次/分钟,按窗口时长折成每分钟次数。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
200,blink_rate_per_min__slope,眨眼,blink_rate_per_min,眨眼频率,slope,任务过程走势,次/分钟,按窗口时长折成每分钟次数。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
201,blink_duration_mean_ms__mean,眨眼,blink_duration_mean_ms,眨眼平均时长,mean,任务内平均,毫秒,疑似眨眼段的平均持续时间。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
202,blink_duration_mean_ms__std,眨眼,blink_duration_mean_ms,眨眼平均时长,std,任务内波动,毫秒,疑似眨眼段的平均持续时间。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
203,blink_duration_mean_ms__median,眨眼,blink_duration_mean_ms,眨眼平均时长,median,任务内中位数,毫秒,疑似眨眼段的平均持续时间。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
204,blink_duration_mean_ms__slope,眨眼,blink_duration_mean_ms,眨眼平均时长,slope,任务过程走势,毫秒,疑似眨眼段的平均持续时间。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
205,blink_duration_std_ms__mean,眨眼,blink_duration_std_ms,眨眼时长波动,mean,任务内平均,毫秒,疑似眨眼段时长的标准差。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
206,blink_duration_std_ms__std,眨眼,blink_duration_std_ms,眨眼时长波动,std,任务内波动,毫秒,疑似眨眼段时长的标准差。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
207,blink_duration_std_ms__median,眨眼,blink_duration_std_ms,眨眼时长波动,median,任务内中位数,毫秒,疑似眨眼段时长的标准差。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
208,blink_duration_std_ms__slope,眨眼,blink_duration_std_ms,眨眼时长波动,slope,任务过程走势,毫秒,疑似眨眼段时长的标准差。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
209,blink_duration_median_ms__mean,眨眼,blink_duration_median_ms,眨眼时长中位数,mean,任务内平均,毫秒,疑似眨眼段时长的中位数。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
210,blink_duration_median_ms__std,眨眼,blink_duration_median_ms,眨眼时长中位数,std,任务内波动,毫秒,疑似眨眼段时长的中位数。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
211,blink_duration_median_ms__median,眨眼,blink_duration_median_ms,眨眼时长中位数,median,任务内中位数,毫秒,疑似眨眼段时长的中位数。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
212,blink_duration_median_ms__slope,眨眼,blink_duration_median_ms,眨眼时长中位数,slope,任务过程走势,毫秒,疑似眨眼段时长的中位数。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
213,blink_total_duration_ratio__mean,眨眼,blink_total_duration_ratio,眨眼总时长占比,mean,任务内平均,0–1,疑似眨眼总时长 / 窗口时长。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
214,blink_total_duration_ratio__std,眨眼,blink_total_duration_ratio,眨眼总时长占比,std,任务内波动,0–1,疑似眨眼总时长 / 窗口时长。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
215,blink_total_duration_ratio__median,眨眼,blink_total_duration_ratio,眨眼总时长占比,median,任务内中位数,0–1,疑似眨眼总时长 / 窗口时长。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
216,blink_total_duration_ratio__slope,眨眼,blink_total_duration_ratio,眨眼总时长占比,slope,任务过程走势,0–1,疑似眨眼总时长 / 窗口时长。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
217,log_action_count_win__mean,操作日志,log_action_count_win,操作次数,mean,任务内平均,次,这个 30 秒窗里操作日志条数。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
218,log_action_count_win__std,操作日志,log_action_count_win,操作次数,std,任务内波动,次,这个 30 秒窗里操作日志条数。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
219,log_action_count_win__median,操作日志,log_action_count_win,操作次数,median,任务内中位数,次,这个 30 秒窗里操作日志条数。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
220,log_action_count_win__slope,操作日志,log_action_count_win,操作次数,slope,任务过程走势,次,这个 30 秒窗里操作日志条数。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
221,log_unique_device_count_win__mean,操作日志,log_unique_device_count_win,碰到的设备种数,mean,任务内平均,个,窗内操作涉及多少个不同设备。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
222,log_unique_device_count_win__std,操作日志,log_unique_device_count_win,碰到的设备种数,std,任务内波动,个,窗内操作涉及多少个不同设备。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
223,log_unique_device_count_win__median,操作日志,log_unique_device_count_win,碰到的设备种数,median,任务内中位数,个,窗内操作涉及多少个不同设备。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
224,log_unique_device_count_win__slope,操作日志,log_unique_device_count_win,碰到的设备种数,slope,任务过程走势,个,窗内操作涉及多少个不同设备。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
225,log_action_density_win__mean,操作日志,log_action_density_win,操作密度,mean,任务内平均,次/秒,窗内操作次数 / 窗口秒数。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
226,log_action_density_win__std,操作日志,log_action_density_win,操作密度,std,任务内波动,次/秒,窗内操作次数 / 窗口秒数。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
227,log_action_density_win__median,操作日志,log_action_density_win,操作密度,median,任务内中位数,次/秒,窗内操作次数 / 窗口秒数。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
228,log_action_density_win__slope,操作日志,log_action_density_win,操作密度,slope,任务过程走势,次/秒,窗内操作次数 / 窗口秒数。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
229,log_correct_action_count_win__mean,操作日志,log_correct_action_count_win,正确操作次数,mean,任务内平均,次,标注为 correct 的条数。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
230,log_correct_action_count_win__std,操作日志,log_correct_action_count_win,正确操作次数,std,任务内波动,次,标注为 correct 的条数。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
231,log_correct_action_count_win__median,操作日志,log_correct_action_count_win,正确操作次数,median,任务内中位数,次,标注为 correct 的条数。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
232,log_correct_action_count_win__slope,操作日志,log_correct_action_count_win,正确操作次数,slope,任务过程走势,次,标注为 correct 的条数。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
233,log_error_action_count_win__mean,操作日志,log_error_action_count_win,错误操作次数,mean,任务内平均,次,标注为 error（做错）的条数。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
234,log_error_action_count_win__std,操作日志,log_error_action_count_win,错误操作次数,std,任务内波动,次,标注为 error（做错）的条数。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
235,log_error_action_count_win__median,操作日志,log_error_action_count_win,错误操作次数,median,任务内中位数,次,标注为 error（做错）的条数。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
236,log_error_action_count_win__slope,操作日志,log_error_action_count_win,错误操作次数,slope,任务过程走势,次,标注为 error（做错）的条数。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
237,log_duplicate_action_count_win__mean,操作日志,log_duplicate_action_count_win,重复操作次数,mean,任务内平均,次,标注为 duplicate（多做/重复）的条数。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
238,log_duplicate_action_count_win__std,操作日志,log_duplicate_action_count_win,重复操作次数,std,任务内波动,次,标注为 duplicate（多做/重复）的条数。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
239,log_duplicate_action_count_win__median,操作日志,log_duplicate_action_count_win,重复操作次数,median,任务内中位数,次,标注为 duplicate（多做/重复）的条数。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
240,log_duplicate_action_count_win__slope,操作日志,log_duplicate_action_count_win,重复操作次数,slope,任务过程走势,次,标注为 duplicate（多做/重复）的条数。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
241,log_extra_action_count_win__mean,操作日志,log_extra_action_count_win,多余操作次数,mean,任务内平均,次,标注为 extra 的条数。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
242,log_extra_action_count_win__std,操作日志,log_extra_action_count_win,多余操作次数,std,任务内波动,次,标注为 extra 的条数。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
243,log_extra_action_count_win__median,操作日志,log_extra_action_count_win,多余操作次数,median,任务内中位数,次,标注为 extra 的条数。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
244,log_extra_action_count_win__slope,操作日志,log_extra_action_count_win,多余操作次数,slope,任务过程走势,次,标注为 extra 的条数。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
245,log_disallowed_action_count_win__mean,操作日志,log_disallowed_action_count_win,不合规操作次数,mean,任务内平均,次,error + duplicate + extra 合计。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
246,log_disallowed_action_count_win__std,操作日志,log_disallowed_action_count_win,不合规操作次数,std,任务内波动,次,error + duplicate + extra 合计。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
247,log_disallowed_action_count_win__median,操作日志,log_disallowed_action_count_win,不合规操作次数,median,任务内中位数,次,error + duplicate + extra 合计。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
248,log_disallowed_action_count_win__slope,操作日志,log_disallowed_action_count_win,不合规操作次数,slope,任务过程走势,次,error + duplicate + extra 合计。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
249,log_error_rate_win__mean,操作日志,log_error_rate_win,不合规操作比例,mean,任务内平均,0–1,不合规次数 / 本窗操作次数（列名带 error，实际是三类不合规合计）。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
250,log_error_rate_win__std,操作日志,log_error_rate_win,不合规操作比例,std,任务内波动,0–1,不合规次数 / 本窗操作次数（列名带 error，实际是三类不合规合计）。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
251,log_error_rate_win__median,操作日志,log_error_rate_win,不合规操作比例,median,任务内中位数,0–1,不合规次数 / 本窗操作次数（列名带 error，实际是三类不合规合计）。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
252,log_error_rate_win__slope,操作日志,log_error_rate_win,不合规操作比例,slope,任务过程走势,0–1,不合规次数 / 本窗操作次数（列名带 error，实际是三类不合规合计）。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
253,log_duplicate_rate_win__mean,操作日志,log_duplicate_rate_win,重复操作比例,mean,任务内平均,0–1,重复次数 / 本窗操作次数。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
254,log_duplicate_rate_win__std,操作日志,log_duplicate_rate_win,重复操作比例,std,任务内波动,0–1,重复次数 / 本窗操作次数。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
255,log_duplicate_rate_win__median,操作日志,log_duplicate_rate_win,重复操作比例,median,任务内中位数,0–1,重复次数 / 本窗操作次数。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
256,log_duplicate_rate_win__slope,操作日志,log_duplicate_rate_win,重复操作比例,slope,任务过程走势,0–1,重复次数 / 本窗操作次数。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
257,log_extra_rate_win__mean,操作日志,log_extra_rate_win,多余操作比例,mean,任务内平均,0–1,多余次数 / 本窗操作次数。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
258,log_extra_rate_win__std,操作日志,log_extra_rate_win,多余操作比例,std,任务内波动,0–1,多余次数 / 本窗操作次数。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
259,log_extra_rate_win__median,操作日志,log_extra_rate_win,多余操作比例,median,任务内中位数,0–1,多余次数 / 本窗操作次数。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
260,log_extra_rate_win__slope,操作日志,log_extra_rate_win,多余操作比例,slope,任务过程走势,0–1,多余次数 / 本窗操作次数。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
261,log_unique_step_count_win__mean,操作日志,log_unique_step_count_win,碰到的步骤种数,mean,任务内平均,个,窗内操作对应多少个不同规程步骤。再在一次任务的所有时间窗上取「任务内平均」：这次任务各时间窗的平均水平。
262,log_unique_step_count_win__std,操作日志,log_unique_step_count_win,碰到的步骤种数,std,任务内波动,个,窗内操作对应多少个不同规程步骤。再在一次任务的所有时间窗上取「任务内波动」：这次任务各时间窗之间差多大；越大说明过程越不稳。
263,log_unique_step_count_win__median,操作日志,log_unique_step_count_win,碰到的步骤种数,median,任务内中位数,个,窗内操作对应多少个不同规程步骤。再在一次任务的所有时间窗上取「任务内中位数」：这次任务各时间窗的中间值，不太受极端窗影响。
264,log_unique_step_count_win__slope,操作日志,log_unique_step_count_win,碰到的步骤种数,slope,任务过程走势,个,窗内操作对应多少个不同规程步骤。再在一次任务的所有时间窗上取「任务过程走势」：按窗口先后做直线斜率：>0 越往后越大，<0 越往后越小。
